UF,Ano,CID10,Total
RO,2008,Síndrome da angústia respiratória do recém-nascido,26
RO,2008,Malformação não especificada do coração,21
RO,2008,Outras causas mal definidas e as não especificadas de mortalidade,14
RO,2008,Pneumonia não especificada,13
RO,2008,Outras,317
RO,2009,Septicemia bacteriana não especificada do recém-nascido,72
RO,2009,Síndrome da angústia respiratória do recém-nascido,31
RO,2009,Malformação não especificada do coração,26
RO,2009,Pneumonia não especificada,16
RO,2009,Diarréia e gastroenterite de origem infecciosa presumível,16
RO,2009,Outras,293
RO,2010,Septicemia bacteriana não especificada do recém-nascido,66
RO,2010,Síndrome da angústia respiratória do recém-nascido,31
RO,2010,Malformação não especificada do coração,22
RO,2010,"Asfixia ao nascer, não especificada",22
RO,2010,Hemorragia pulmonar não especificada originada no período perinatal,16
RO,2010,Outras,310
RO,2011,Septicemia bacteriana não especificada do recém-nascido,37
RO,2011,Síndrome da angústia respiratória do recém-nascido,31
RO,2011,Septicemia não especificada,14
RO,2011,Pneumonia não especificada,14
RO,2011,Síndrome de aspiração neonatal não especificada,14
RO,2011,Outras,255
RO,2012,Septicemia bacteriana não especificada do recém-nascido,36
RO,2012,Síndrome da angústia respiratória do recém-nascido,35
RO,2012,"Asfixia ao nascer, não especificada",27
RO,2012,Malformação não especificada do coração,17
RO,2012,Septicemia não especificada,14
RO,2012,Outras,243
RO,2013,Septicemia bacteriana não especificada do recém-nascido,41
RO,2013,Síndrome da angústia respiratória do recém-nascido,28
RO,2013,Malformação não especificada do coração,21
RO,2013,Septicemia não especificada,15
RO,2013,Outros recém-nascidos de pré-termo,10
RO,2013,Outras,255
RO,2014,Septicemia bacteriana não especificada do recém-nascido,52
RO,2014,Síndrome da angústia respiratória do recém-nascido,34
RO,2014,"Asfixia ao nascer, não especificada",19
RO,2014,Malformação não especificada do coração,19
RO,2014,Diarréia e gastroenterite de origem infecciosa presumível,15
RO,2014,Outras,244
RO,2015,Septicemia bacteriana não especificada do recém-nascido,61
RO,2015,Síndrome da angústia respiratória do recém-nascido,38
RO,2015,Malformação não especificada do coração,26
RO,2015,"Asfixia ao nascer, não especificada",18
RO,2015,Pneumonia não especificada,17
RO,2015,Outras,235
AC,2000,Morte sem assistência,90
AC,2000,Insuficiência respiratória do recém-nascido,33
AC,2000,Feto e recém-nascido afetados por contrações uterinas anormais,23
AC,2000,Outras causas mal definidas e as não especificadas de mortalidade,18
AC,2000,Síndrome da angústia respiratória do recém-nascido,18
AC,2000,Outras,293
AC,2001,Morte sem assistência,49
AC,2001,Insuficiência respiratória do recém-nascido,25
AC,2001,Síndrome da angústia respiratória do recém-nascido,25
AC,2001,Feto e recém-nascido afetados por contrações uterinas anormais,19
AC,2001,Malformação não especificada do coração,14
AC,2001,Outras,223
AC,2002,Morte sem assistência,31
AC,2002,Outras causas mal definidas e as não especificadas de mortalidade,26
AC,2002,Síndrome da angústia respiratória do recém-nascido,26
AC,2002,Feto e recém-nascido afetados por contrações uterinas anormais,22
AC,2002,Diarréia e gastroenterite de origem infecciosa presumível,18
AC,2002,Outras,222
AC,2003,Insuficiência respiratória do recém-nascido,26
AC,2003,Morte sem assistência,25
AC,2003,Feto e recém-nascido afetados por contrações uterinas anormais,24
AC,2003,Síndrome da angústia respiratória do recém-nascido,23
AC,2003,Outras causas mal definidas e as não especificadas de mortalidade,23
AC,2003,Outras,208
AC,2004,Morte sem assistência,34
AC,2004,Síndrome da angústia respiratória do recém-nascido,24
AC,2004,Outras causas mal definidas e as não especificadas de mortalidade,24
AC,2004,Feto e recém-nascido afetados por contrações uterinas anormais,19
AC,2004,Insuficiência respiratória do recém-nascido,19
AC,2004,Outras,222
AC,2005,Síndrome da angústia respiratória do recém-nascido,26
AC,2005,Outras causas mal definidas e as não especificadas de mortalidade,19
AC,2005,Malformação não especificada do coração,18
AC,2005,Diarréia e gastroenterite de origem infecciosa presumível,17
AC,2005,Feto e recém-nascido afetados por contrações uterinas anormais,15
AC,2005,Outras,279
AC,2006,Síndrome da angústia respiratória do recém-nascido,23
AC,2006,Septicemia do recém-nascido devida a outros estreptococos e aos não especificados,23
AC,2006,Morte sem assistência,18
AC,2006,Pneumonia não especificada,16
AC,2006,"Asfixia ao nascer, não especificada",13
AC,2006,Outras,249
AC,2007,Septicemia do recém-nascido devida a outros estreptococos e aos não especificados,32
AC,2007,Síndrome da angústia respiratória do recém-nascido,20
AC,2007,Pneumonia não especificada,18
AC,2007,Outros recém-nascidos de pré-termo,17
AC,2007,Malformação não especificada do coração,16
AC,2007,Outras,262
AC,2008,Septicemia do recém-nascido devida a outros estreptococos e aos não especificados,30
AC,2008,Síndrome da angústia respiratória do recém-nascido,24
AC,2008,Outros recém-nascidos de pré-termo,18
AC,2008,Pneumonia não especificada,15
AC,2008,Malformação não especificada do coração,14
AC,2008,Outras,228
AC,2009,Septicemia do recém-nascido devida a outros estreptococos e aos não especificados,30
AC,2009,Pneumonia não especificada,22
AC,2009,Síndrome da angústia respiratória do recém-nascido,16
AC,2009,Outros recém-nascidos de pré-termo,16
AC,2009,Morte sem assistência,11
AC,2009,Outras,239
AC,2010,Septicemia do recém-nascido devida a outros estreptococos e aos não especificados,24
AC,2010,Síndrome da angústia respiratória do recém-nascido,21
AC,2010,Morte sem assistência,19
AC,2010,Outras causas mal definidas e as não especificadas de mortalidade,12
AC,2010,Outros recém-nascidos de pré-termo,10
AC,2010,Outras,213
AC,2011,Síndrome da angústia respiratória do recém-nascido,27
AC,2011,Outras causas mal definidas e as não especificadas de mortalidade,14
AC,2011,Outros recém-nascidos de pré-termo,12
AC,2011,Pneumonia não especificada,11
AC,2011,Septicemia do recém-nascido devida a outros estreptococos e aos não especificados,10
AC,2011,Outras,200
AC,2012,Síndrome da angústia respiratória do recém-nascido,22
AC,2012,Outras causas mal definidas e as não especificadas de mortalidade,16
AC,2012,Diarréia e gastroenterite de origem infecciosa presumível,15
AC,2012,Malformação não especificada do coração,15
AC,2012,Septicemia bacteriana não especificada do recém-nascido,12
AC,2012,Outras,209
AC,2013,Septicemia bacteriana não especificada do recém-nascido,34
AC,2013,Síndrome da angústia respiratória do recém-nascido,28
AC,2013,Outras causas mal definidas e as não especificadas de mortalidade,14
AC,2013,"Asfixia ao nascer, não especificada",13
AC,2013,Malformação não especificada do coração,13
AC,2013,Outras,198
AC,2014,Septicemia bacteriana não especificada do recém-nascido,26
AC,2014,Síndrome da angústia respiratória do recém-nascido,23
AC,2014,Pneumonia não especificada,18
AC,2014,Malformação não especificada do coração,16
AC,2014,Diarréia e gastroenterite de origem infecciosa presumível,11
AC,2014,Outras,214
AC,2015,Septicemia bacteriana não especificada do recém-nascido,30
AC,2015,Síndrome da angústia respiratória do recém-nascido,25
AC,2015,Malformação não especificada do coração,20
AC,2015,Pneumonia não especificada,15
AC,2015,Diarréia e gastroenterite de origem infecciosa presumível,10
AC,2015,Outras,208
AM,2000,Morte sem assistência,196
AM,2000,Síndrome da angústia respiratória do recém-nascido,188
AM,2000,Septicemia bacteriana não especificada do recém-nascido,153
AM,2000,Afecções originadas no período perinatal não especificadas,129
AM,2000,Insuficiência respiratória do recém-nascido,123
AM,2000,Outras,1082
AM,2001,Síndrome da angústia respiratória do recém-nascido,150
AM,2001,Morte sem assistência,138
AM,2001,Afecções originadas no período perinatal não especificadas,133
AM,2001,Insuficiência respiratória do recém-nascido,125
AM,2001,Septicemia bacteriana não especificada do recém-nascido,112
AM,2001,Outras,994
AM,2002,Morte sem assistência,209
AM,2002,Síndrome da angústia respiratória do recém-nascido,163
AM,2002,Septicemia bacteriana não especificada do recém-nascido,110
AM,2002,Afecções originadas no período perinatal não especificadas,103
AM,2002,Insuficiência respiratória do recém-nascido,90
AM,2002,Outras,919
AM,2003,Morte sem assistência,217
AM,2003,Síndrome da angústia respiratória do recém-nascido,140
AM,2003,Septicemia bacteriana não especificada do recém-nascido,110
AM,2003,Afecções originadas no período perinatal não especificadas,107
AM,2003,Insuficiência respiratória do recém-nascido,85
AM,2003,Outras,850
AM,2004,Morte sem assistência,131
AM,2004,Afecções originadas no período perinatal não especificadas,101
AM,2004,Septicemia bacteriana não especificada do recém-nascido,90
AM,2004,Síndrome da angústia respiratória do recém-nascido,77
AM,2004,Pneumonia não especificada,63
AM,2004,Outras,860
AM,2005,Morte sem assistência,110
AM,2005,Síndrome da angústia respiratória do recém-nascido,83
AM,2005,Diarréia e gastroenterite de origem infecciosa presumível,83
AM,2005,Septicemia bacteriana não especificada do recém-nascido,82
AM,2005,Afecções originadas no período perinatal não especificadas,75
AM,2005,Outras,893
AM,2006,Morte sem assistência,109
AM,2006,Septicemia bacteriana não especificada do recém-nascido,100
AM,2006,Síndrome da angústia respiratória do recém-nascido,79
AM,2006,Afecções originadas no período perinatal não especificadas,67
AM,2006,Malformação não especificada do coração,61
AM,2006,Outras,947
AM,2007,Morte sem assistência,100
AM,2007,Septicemia bacteriana não especificada do recém-nascido,93
AM,2007,Síndrome da angústia respiratória do recém-nascido,67
AM,2007,Afecções originadas no período perinatal não especificadas,56
AM,2007,Diarréia e gastroenterite de origem infecciosa presumível,51
AM,2007,Outras,858
AM,2008,Septicemia bacteriana não especificada do recém-nascido,86
AM,2008,Síndrome da angústia respiratória do recém-nascido,86
AM,2008,Morte sem assistência,71
AM,2008,Afecções originadas no período perinatal não especificadas,64
AM,2008,Pneumonia não especificada,62
AM,2008,Outras,865
AM,2009,Septicemia bacteriana não especificada do recém-nascido,97
AM,2009,Síndrome da angústia respiratória do recém-nascido,85
AM,2009,Morte sem assistência,68
AM,2009,Diarréia e gastroenterite de origem infecciosa presumível,55
AM,2009,Malformação não especificada do coração,49
AM,2009,Outras,887
AM,2010,Septicemia bacteriana não especificada do recém-nascido,72
AM,2010,Síndrome da angústia respiratória do recém-nascido,71
AM,2010,Morte sem assistência,69
AM,2010,Pneumonia não especificada,43
AM,2010,Diarréia e gastroenterite de origem infecciosa presumível,43
AM,2010,Outras,858
AM,2011,Síndrome da angústia respiratória do recém-nascido,78
AM,2011,Septicemia bacteriana não especificada do recém-nascido,53
AM,2011,Afecções originadas no período perinatal não especificadas,52
AM,2011,Malformação não especificada do coração,44
AM,2011,Morte sem assistência,43
AM,2011,Outras,879
AM,2012,Síndrome da angústia respiratória do recém-nascido,88
AM,2012,Malformação não especificada do coração,64
AM,2012,Septicemia bacteriana não especificada do recém-nascido,53
AM,2012,Pneumonia não especificada,51
AM,2012,Morte sem assistência,51
AM,2012,Outras,927
AM,2013,Síndrome da angústia respiratória do recém-nascido,112
AM,2013,Pneumonia não especificada,98
AM,2013,Septicemia bacteriana não especificada do recém-nascido,76
AM,2013,Malformação não especificada do coração,65
AM,2013,Diarréia e gastroenterite de origem infecciosa presumível,51
AM,2013,Outras,936
AM,2014,Síndrome da angústia respiratória do recém-nascido,118
AM,2014,Septicemia bacteriana não especificada do recém-nascido,74
AM,2014,Pneumonia não especificada,62
AM,2014,Diarréia e gastroenterite de origem infecciosa presumível,47
AM,2014,Malformação não especificada do coração,45
AM,2014,Outras,905
AM,2015,Síndrome da angústia respiratória do recém-nascido,122
AM,2015,Septicemia bacteriana não especificada do recém-nascido,74
AM,2015,Pneumonia não especificada,50
AM,2015,Malformação não especificada do coração,42
AM,2015,Diarréia e gastroenterite de origem infecciosa presumível,39
AM,2015,Outras,893
RR,2000,Síndrome da angústia respiratória do recém-nascido,12
RR,2000,Outras causas mal definidas e as não especificadas de mortalidade,10
RR,2000,Morte sem assistência,9
RR,2000,Malformação não especificada do coração,9
RR,2000,Insuficiência respiratória do recém-nascido,8
RR,2000,Outras,118
RR,2001,Síndrome da angústia respiratória do recém-nascido,24
RR,2001,Diarréia e gastroenterite de origem infecciosa presumível,8
RR,2001,Malformação não especificada do coração,8
RR,2001,Morte sem assistência,8
RR,2001,Septicemia bacteriana não especificada do recém-nascido,6
RR,2001,Outras,107
RR,2002,Síndrome da angústia respiratória do recém-nascido,13
RR,2002,Malformação não especificada do coração,8
RR,2002,Insuficiência respiratória do recém-nascido,8
RR,2002,Diarréia e gastroenterite de origem infecciosa presumível,6
RR,2002,"Asfixia ao nascer, não especificada",4
RR,2002,Outras,72
RR,2003,Diarréia e gastroenterite de origem infecciosa presumível,21
RR,2003,Síndrome da angústia respiratória do recém-nascido,15
RR,2003,Pneumonia não especificada,11
RR,2003,Malformação não especificada do coração,9
RR,2003,Broncopneumonia não especificada,9
RR,2003,Outras,95
RR,2004,Pneumonia não especificada,17
RR,2004,Síndrome da angústia respiratória do recém-nascido,15
RR,2004,Malformação não especificada do coração,13
RR,2004,Outras causas mal definidas e as não especificadas de mortalidade,10
RR,2004,Desnutrição protéico-calórica não especificada,8
RR,2004,Outras,116
RR,2005,Pneumonia não especificada,16
RR,2005,Síndrome da angústia respiratória do recém-nascido,14
RR,2005,Diarréia e gastroenterite de origem infecciosa presumível,8
RR,2005,Malformação não especificada do coração,8
RR,2005,Outras causas mal definidas e as não especificadas de mortalidade,7
RR,2005,Outras,118
RR,2006,Diarréia e gastroenterite de origem infecciosa presumível,21
RR,2006,Síndrome da angústia respiratória do recém-nascido,12
RR,2006,Septicemia bacteriana não especificada do recém-nascido,12
RR,2006,Pneumonia não especificada,10
RR,2006,Agressão por meios não especificados - local não especificado,8
RR,2006,Outras,140
RR,2007,Síndrome da angústia respiratória do recém-nascido,14
RR,2007,Outras causas mal definidas e as não especificadas de mortalidade,10
RR,2007,Pneumonia não especificada,9
RR,2007,Malformação não especificada do coração,8
RR,2007,Recém-nascido com peso muito baixo,8
RR,2007,Outras,117
RR,2008,Síndrome da angústia respiratória do recém-nascido,22
RR,2008,Pneumonia não especificada,16
RR,2008,Malformação não especificada do coração,11
RR,2008,Agressão por meios não especificados - outros locais especificados,7
RR,2008,Septicemia não especificada,6
RR,2008,Outras,106
RR,2009,Síndrome da angústia respiratória do recém-nascido,20
RR,2009,Pneumonia não especificada,14
RR,2009,Diarréia e gastroenterite de origem infecciosa presumível,12
RR,2009,Agressão por meios não especificados - outros locais especificados,9
RR,2009,Septicemia bacteriana não especificada do recém-nascido,9
RR,2009,Outras,114
RR,2010,Síndrome da angústia respiratória do recém-nascido,12
RR,2010,Malformação não especificada do coração,9
RR,2010,Pneumonia não especificada,9
RR,2010,Recém-nascido com peso muito baixo,7
RR,2010,Septicemia bacteriana não especificada do recém-nascido,6
RR,2010,Outras,84
RR,2011,Síndrome da angústia respiratória do recém-nascido,19
RR,2011,Malformação não especificada do coração,9
RR,2011,Enterocolite necrotizante do feto e do recém-nascido,6
RR,2011,Outras malformações congênitas especificadas do coração,5
RR,2011,Septicemia bacteriana não especificada do recém-nascido,5
RR,2011,Outras,80
RR,2012,Agressão por meios não especificados - local não especificado,40
RR,2012,Síndrome da angústia respiratória do recém-nascido,19
RR,2012,Pneumonia não especificada,15
RR,2012,Septicemia bacteriana não especificada do recém-nascido,8
RR,2012,Diarréia e gastroenterite de origem infecciosa presumível,6
RR,2012,Outras,107
RR,2013,Pneumonia não especificada,25
RR,2013,Agressão por meios não especificados - outros locais especificados,25
RR,2013,Síndrome da angústia respiratória do recém-nascido,18
RR,2013,Septicemia bacteriana não especificada do recém-nascido,12
RR,2013,Agressão por meios não especificados - local não especificado,7
RR,2013,Outras,119
RR,2014,Síndrome da angústia respiratória do recém-nascido,22
RR,2014,Agressão por meios não especificados - outros locais especificados,21
RR,2014,Pneumonia não especificada,20
RR,2014,Septicemia bacteriana não especificada do recém-nascido,16
RR,2014,Afecções originadas no período perinatal não especificadas,10
RR,2014,Outras,132
RR,2015,Agressão por meios não especificados - local não especificado,19
RR,2015,Síndrome da angústia respiratória do recém-nascido,17
RR,2015,Desconforto respiratório não especificado do recém-nascido,8
RR,2015,Pneumonia não especificada,8
RR,2015,Outras causas mal definidas e as não especificadas de mortalidade,8
RR,2015,Outras,129
PA,2000,Morte sem assistência,383
PA,2000,Septicemia bacteriana não especificada do recém-nascido,313
PA,2000,Síndrome da angústia respiratória do recém-nascido,255
PA,2000,Insuficiência respiratória do recém-nascido,234
PA,2000,"Asfixia ao nascer, não especificada",118
PA,2000,Outras,1781
PA,2001,Septicemia bacteriana não especificada do recém-nascido,363
PA,2001,Morte sem assistência,293
PA,2001,Insuficiência respiratória do recém-nascido,247
PA,2001,Síndrome da angústia respiratória do recém-nascido,168
PA,2001,"Asfixia ao nascer, não especificada",122
PA,2001,Outras,1934
PA,2002,Morte sem assistência,350
PA,2002,Septicemia bacteriana não especificada do recém-nascido,324
PA,2002,Síndrome da angústia respiratória do recém-nascido,195
PA,2002,Insuficiência respiratória do recém-nascido,178
PA,2002,Pneumonia não especificada,112
PA,2002,Outras,1733
PA,2003,Septicemia bacteriana não especificada do recém-nascido,339
PA,2003,Morte sem assistência,274
PA,2003,Síndrome da angústia respiratória do recém-nascido,263
PA,2003,Outros recém-nascidos de pré-termo,176
PA,2003,Septicemia não especificada,129
PA,2003,Outras,1981
PA,2004,Septicemia bacteriana não especificada do recém-nascido,397
PA,2004,Morte sem assistência,282
PA,2004,Síndrome da angústia respiratória do recém-nascido,185
PA,2004,Outros recém-nascidos de pré-termo,184
PA,2004,"Asfixia ao nascer, não especificada",157
PA,2004,Outras,1897
PA,2005,Septicemia bacteriana não especificada do recém-nascido,334
PA,2005,Morte sem assistência,216
PA,2005,Síndrome da angústia respiratória do recém-nascido,168
PA,2005,Outros recém-nascidos de pré-termo,155
PA,2005,Septicemia não especificada,134
PA,2005,Outras,1943
PA,2006,Septicemia bacteriana não especificada do recém-nascido,349
PA,2006,Síndrome da angústia respiratória do recém-nascido,179
PA,2006,Morte sem assistência,158
PA,2006,Pneumonia não especificada,118
PA,2006,Septicemia não especificada,116
PA,2006,Outras,2012
PA,2007,Septicemia bacteriana não especificada do recém-nascido,322
PA,2007,Síndrome da angústia respiratória do recém-nascido,177
PA,2007,Outros recém-nascidos de pré-termo,146
PA,2007,Pneumonia não especificada,114
PA,2007,Morte sem assistência,102
PA,2007,Outras,1889
PA,2008,Septicemia bacteriana não especificada do recém-nascido,322
PA,2008,Síndrome da angústia respiratória do recém-nascido,210
PA,2008,Outros recém-nascidos de pré-termo,122
PA,2008,Pneumonia não especificada,104
PA,2008,Septicemia não especificada,84
PA,2008,Outras,1844
PA,2009,Septicemia bacteriana não especificada do recém-nascido,255
PA,2009,Síndrome da angústia respiratória do recém-nascido,199
PA,2009,Outros recém-nascidos de pré-termo,112
PA,2009,Pneumonia não especificada,90
PA,2009,"Asfixia ao nascer, não especificada",83
PA,2009,Outras,1823
PA,2010,Septicemia bacteriana não especificada do recém-nascido,215
PA,2010,Síndrome da angústia respiratória do recém-nascido,158
PA,2010,Outros recém-nascidos de pré-termo,134
PA,2010,"Asfixia ao nascer, não especificada",87
PA,2010,Imaturidade extrema,80
PA,2010,Outras,1797
PA,2011,Septicemia bacteriana não especificada do recém-nascido,234
PA,2011,Síndrome da angústia respiratória do recém-nascido,150
PA,2011,Outros recém-nascidos de pré-termo,119
PA,2011,Septicemia não especificada,92
PA,2011,Pneumonia não especificada,76
PA,2011,Outras,1728
PA,2012,Septicemia bacteriana não especificada do recém-nascido,213
PA,2012,Síndrome da angústia respiratória do recém-nascido,142
PA,2012,Outros recém-nascidos de pré-termo,105
PA,2012,Imaturidade extrema,88
PA,2012,Pneumonia não especificada,87
PA,2012,Outras,1632
PA,2013,Septicemia bacteriana não especificada do recém-nascido,214
PA,2013,Síndrome da angústia respiratória do recém-nascido,134
PA,2013,Pneumonia não especificada,110
PA,2013,Outros recém-nascidos de pré-termo,102
PA,2013,"Asfixia ao nascer, não especificada",72
PA,2013,Outras,1618
PA,2014,Septicemia bacteriana não especificada do recém-nascido,193
PA,2014,Síndrome da angústia respiratória do recém-nascido,106
PA,2014,Outros recém-nascidos de pré-termo,99
PA,2014,Pneumonia não especificada,78
PA,2014,Septicemia não especificada,58
PA,2014,Outras,1647
PA,2015,Septicemia bacteriana não especificada do recém-nascido,189
PA,2015,Síndrome da angústia respiratória do recém-nascido,105
PA,2015,Outros recém-nascidos de pré-termo,96
PA,2015,Pneumonia não especificada,81
PA,2015,Aspiração neonatal de mecônio,58
PA,2015,Outras,1541
AP,2000,Insuficiência respiratória do recém-nascido,55
AP,2000,Septicemia bacteriana não especificada do recém-nascido,37
AP,2000,"Asfixia ao nascer, não especificada",24
AP,2000,Imaturidade extrema,12
AP,2000,Atelectasia primária do recém-nascido,11
AP,2000,Outras,180
AP,2001,Insuficiência respiratória do recém-nascido,58
AP,2001,Septicemia bacteriana não especificada do recém-nascido,41
AP,2001,Septicemia não especificada,15
AP,2001,Síndrome da angústia respiratória do recém-nascido,14
AP,2001,Asfixia grave ao nascer,13
AP,2001,Outras,199
AP,2002,Insuficiência respiratória do recém-nascido,54
AP,2002,Septicemia bacteriana não especificada do recém-nascido,21
AP,2002,Asfixia grave ao nascer,18
AP,2002,Infecção própria do período perinatal não especificada,11
AP,2002,Síndrome da angústia respiratória do recém-nascido,11
AP,2002,Outras,226
AP,2003,Septicemia bacteriana não especificada do recém-nascido,38
AP,2003,Insuficiência respiratória do recém-nascido,36
AP,2003,Síndrome da angústia respiratória do recém-nascido,25
AP,2003,Pneumonia não especificada,13
AP,2003,Asfixia grave ao nascer,11
AP,2003,Outras,173
AP,2004,Insuficiência respiratória do recém-nascido,39
AP,2004,Septicemia bacteriana não especificada do recém-nascido,35
AP,2004,Síndrome da angústia respiratória do recém-nascido,25
AP,2004,Asfixia grave ao nascer,14
AP,2004,Outros recém-nascidos de pré-termo,11
AP,2004,Outras,183
AP,2005,Insuficiência respiratória do recém-nascido,48
AP,2005,Septicemia bacteriana não especificada do recém-nascido,23
AP,2005,Asfixia grave ao nascer,16
AP,2005,Síndrome da angústia respiratória do recém-nascido,16
AP,2005,Septicemia do recém-nascido devida a outros estreptococos e aos não especificados,14
AP,2005,Outras,170
AP,2006,Septicemia bacteriana não especificada do recém-nascido,45
AP,2006,Imaturidade extrema,25
AP,2006,Asfixia grave ao nascer,20
AP,2006,Recém-nascido com peso muito baixo,15
AP,2006,Síndrome da angústia respiratória do recém-nascido,15
AP,2006,Outras,205
AP,2007,Septicemia bacteriana não especificada do recém-nascido,56
AP,2007,Imaturidade extrema,28
AP,2007,Infecção própria do período perinatal não especificada,19
AP,2007,Aspiração neonatal de mecônio,13
AP,2007,Recém-nascido com peso muito baixo,13
AP,2007,Outras,179
AP,2008,Septicemia bacteriana não especificada do recém-nascido,38
AP,2008,Recém-nascido com peso muito baixo,19
AP,2008,Infecção própria do período perinatal não especificada,18
AP,2008,Asfixia grave ao nascer,16
AP,2008,Pneumonia não especificada,15
AP,2008,Outras,254
AP,2009,Septicemia bacteriana não especificada do recém-nascido,63
AP,2009,Recém-nascido com peso muito baixo,13
AP,2009,Infecção própria do período perinatal não especificada,13
AP,2009,Septicemia não especificada,12
AP,2009,Imaturidade extrema,10
AP,2009,Outras,230
AP,2010,Septicemia bacteriana não especificada do recém-nascido,50
AP,2010,Outros recém-nascidos de pré-termo,23
AP,2010,"Asfixia ao nascer, não especificada",16
AP,2010,Asfixia grave ao nascer,14
AP,2010,Infecção própria do período perinatal não especificada,13
AP,2010,Outras,190
AP,2011,Septicemia bacteriana não especificada do recém-nascido,76
AP,2011,Outros recém-nascidos de pré-termo,18
AP,2011,Infecção própria do período perinatal não especificada,16
AP,2011,Desconforto respiratório não especificado do recém-nascido,10
AP,2011,"Asfixia ao nascer, não especificada",9
AP,2011,Outras,189
AP,2012,Septicemia bacteriana não especificada do recém-nascido,62
AP,2012,Asfixia grave ao nascer,18
AP,2012,Recém-nascido com peso muito baixo,17
AP,2012,Malformação não especificada do coração,16
AP,2012,Síndrome da angústia respiratória do recém-nascido,14
AP,2012,Outras,202
AP,2013,Septicemia bacteriana não especificada do recém-nascido,37
AP,2013,Recém-nascido com peso muito baixo,27
AP,2013,Infecção própria do período perinatal não especificada,18
AP,2013,Asfixia grave ao nascer,16
AP,2013,Malformação não especificada do coração,15
AP,2013,Outras,211
AP,2014,Septicemia bacteriana não especificada do recém-nascido,42
AP,2014,Recém-nascido com peso muito baixo,24
AP,2014,Asfixia grave ao nascer,17
AP,2014,Pneumonia não especificada,16
AP,2014,Infecção própria do período perinatal não especificada,14
AP,2014,Outras,206
AP,2015,Septicemia bacteriana não especificada do recém-nascido,40
AP,2015,Recém-nascido com peso muito baixo,19
AP,2015,Infecção própria do período perinatal não especificada,16
AP,2015,Outras causas mal definidas e as não especificadas de mortalidade,15
AP,2015,Asfixia grave ao nascer,12
AP,2015,Outras,189
TO,2000,Insuficiência respiratória do recém-nascido,58
TO,2000,Diarréia e gastroenterite de origem infecciosa presumível,39
TO,2000,Morte sem assistência,36
TO,2000,Síndrome da angústia respiratória do recém-nascido,35
TO,2000,Septicemia bacteriana não especificada do recém-nascido,26
TO,2000,Outras,415
TO,2001,Diarréia e gastroenterite de origem infecciosa presumível,56
TO,2001,Síndrome da angústia respiratória do recém-nascido,53
TO,2001,Insuficiência respiratória do recém-nascido,51
TO,2001,Morte sem assistência,36
TO,2001,Septicemia bacteriana não especificada do recém-nascido,34
TO,2001,Outras,390
TO,2002,Insuficiência respiratória do recém-nascido,55
TO,2002,Diarréia e gastroenterite de origem infecciosa presumível,45
TO,2002,Síndrome da angústia respiratória do recém-nascido,41
TO,2002,Septicemia bacteriana não especificada do recém-nascido,27
